Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,,,,2023-01-26 13:41:56,2023-01-26 13:43:46,1m - 50.178s,FAILED
,,,,,,,
Test Cases/TC002 - Checkout/C001 - Checkout (Positive),,,,2023-01-26 13:41:57,2023-01-26 13:42:53,56.555s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:41:57,2023-01-26 13:42:16,19.180s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Sauce Labs Backpack""), 0)",,,,2023-01-26 13:42:16,2023-01-26 13:42:17,0.898s,PASSED
"scrollToText(""Add To Cart"")",,,,2023-01-26 13:42:17,2023-01-26 13:42:21,3.692s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Add To Cart""), 0)",,,,2023-01-26 13:42:21,2023-01-26 13:42:21,0.454s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.ImageView""), 0)",,,,2023-01-26 13:42:21,2023-01-26 13:42:22,0.800s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Proceed To Checkout""), 0)",,,,2023-01-26 13:42:22,2023-01-26 13:42:23,0.883s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText""), ""bob@example.com"", 0)",,,,2023-01-26 13:42:23,2023-01-26 13:42:25,1.872s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Checkout/android.widget.EditText (1)""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-01-26 13:42:25,2023-01-26 13:42:26,1.197s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Login""), 0)",,,,2023-01-26 13:42:26,2023-01-26 13:42:27,0.730s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Rebecca Winter""), ""M iqbal"", 0)",,,,2023-01-26 13:42:27,2023-01-26 13:42:29,2.540s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Mandorley 112""), ""telukjambe timur"", 0)",,,,2023-01-26 13:42:29,2023-01-26 13:42:31,1.614s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Entrance 1""), ""puseurjaya"", 0)",,,,2023-01-26 13:42:31,2023-01-26 13:42:33,1.632s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Truro""), ""karawang"", 0)",,,,2023-01-26 13:42:33,2023-01-26 13:42:34,1.630s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Cornwall""), ""jawa barat"", 0)",,,,2023-01-26 13:42:34,2023-01-26 13:42:36,1.607s,PASSED
"scrollToText(""Country"")",,,,2023-01-26 13:42:36,2023-01-26 13:42:39,3.542s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 89750""), ""41361"", 0)",,,,2023-01-26 13:42:39,2023-01-26 13:42:41,1.321s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - United Kingdom""), ""Indonesia"", 0)",,,,2023-01-26 13:42:41,2023-01-26 13:42:42,1.171s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - To Payment""), 0)",,,,2023-01-26 13:42:42,2023-01-26 13:42:42,0.625s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Rebecca Winter (1)""), ""Rebecca Winter"", 0)",,,,2023-01-26 13:42:42,2023-01-26 13:42:45,2.319s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 3258 1265 7568 789""), ""325812657568789"", 0)",,,,2023-01-26 13:42:45,2023-01-26 13:42:46,1.613s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 0325""), ""03/25"", 0)",,,,2023-01-26 13:42:46,2023-01-26 13:42:48,1.667s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 123""), ""123"", 0)",,,,2023-01-26 13:42:48,2023-01-26 13:42:50,1.610s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Review Order""), 0)",,,,2023-01-26 13:42:50,2023-01-26 13:42:50,0.624s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Place Order""), 0)",,,,2023-01-26 13:42:50,2023-01-26 13:42:52,1.367s,PASSED
closeApplication(),,,,2023-01-26 13:42:52,2023-01-26 13:42:53,1.417s,PASSED
,,,,,,,
Test Cases/TC002 - Checkout/C002 - Checkout with empty shipping address (Negative),,,,2023-01-26 13:43:33,2023-01-26 13:43:46,13.534s,FAILED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:43:33,2023-01-26 13:43:45,12.533s,PASSED
"tap(findTestObject(""""), 0)",,,,2023-01-26 13:43:45,2023-01-26 13:43:46,0.989s,FAILED
