Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2023-01-26 13:15:09,2023-01-26 13:16:21,1m - 12.069s,PASSED
,,,,,,,
Test Cases/TC001 - Login/L001 - Login (Positive),,,,2023-01-26 13:15:10,2023-01-26 13:15:36,26.164s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:15:10,2023-01-26 13:15:27,16.609s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2023-01-26 13:15:27,2023-01-26 13:15:28,0.831s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Log In""), 0)",,,,2023-01-26 13:15:28,2023-01-26 13:15:29,1.786s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText""), ""bob@example.com"", 0)",,,,2023-01-26 13:15:29,2023-01-26 13:15:32,2.306s,PASSED
"setEncryptedText(findTestObject(""Object Repository/android.widget.EditText (1)""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-01-26 13:15:32,2023-01-26 13:15:33,1.204s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login""), 0)",,,,2023-01-26 13:15:33,2023-01-26 13:15:34,0.872s,PASSED
closeApplication(),,,,2023-01-26 13:15:34,2023-01-26 13:15:36,2.024s,PASSED
,,,,,,,
Test Cases/TC001 - Login/L002 - Login with Locked Account (Positive),,,,2023-01-26 13:15:36,2023-01-26 13:15:59,22.849s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:15:37,2023-01-26 13:15:51,14.394s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2023-01-26 13:15:51,2023-01-26 13:15:52,0.825s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Log In (1)""), 0)",,,,2023-01-26 13:15:52,2023-01-26 13:15:54,1.780s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText (2)""), ""alice@example.com"", 0)",,,,2023-01-26 13:15:54,2023-01-26 13:15:56,2.116s,PASSED
"setEncryptedText(findTestObject(""Object Repository/android.widget.EditText (3)""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-01-26 13:15:56,2023-01-26 13:15:57,1.187s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login (1)""), 0)",,,,2023-01-26 13:15:57,2023-01-26 13:15:58,0.733s,PASSED
closeApplication(),,,,2023-01-26 13:15:58,2023-01-26 13:15:59,0.892s,PASSED
,,,,,,,
Test Cases/TC001 - Login/L003 - Login with wrong account,,,,2023-01-26 13:15:59,2023-01-26 13:16:21,22.656s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:15:59,2023-01-26 13:16:14,14.475s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (3)""), 0)",,,,2023-01-26 13:16:14,2023-01-26 13:16:14,0.694s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Log In (3)""), 0)",,,,2023-01-26 13:16:14,2023-01-26 13:16:16,1.817s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText (7)""), ""iqbal@example.com"", 0)",,,,2023-01-26 13:16:16,2023-01-26 13:16:18,2.212s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText (8)""), ""qwerty123"", 0)",,,,2023-01-26 13:16:18,2023-01-26 13:16:20,1.169s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login (3)""), 0)",,,,2023-01-26 13:16:20,2023-01-26 13:16:20,0.738s,PASSED
closeApplication(),,,,2023-01-26 13:16:20,2023-01-26 13:16:21,1.054s,PASSED
